System,BLEU-1,BLEU-2,ROUGE-1,ROUGE-2,ROUGE-L,Perplexity,DIST-1,DIST-2,Emotion-Acc,Emotion-F1-W,Emotion-F1-M,Empathy-Score,Avg-Length,Avg-Latency
with_cognition,1.0,1.0,1.0,1.0,1.0,84.38238150771352,0.28036322360953464,0.5887191539365453,1.0,1.0,1.0,0.5333333333333333,29.366666666666667,2.5
no_cognition,0.10490847553657608,0.03800765761276714,0.1853888929152912,0.028947969245841587,0.13414159283931595,203.09741417299762,0.37184873949579833,0.6031390134529148,0.0,0.0,0.0,0.125,15.866666666666667,1.7999999999999996
vanilla_gpt,0.011197649540226973,0.002716633577579598,0.1617554628817371,0.004166666666666667,0.12131359534022702,169.19165680772375,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.25,6.0,1.7999999999999996
